,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
52629,27025,Yegor Andreyevich Degtyaryov,M,20.0,202.0,96.0,Russia,RUS,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,
52667,27047,Markus Deibler,M,18.0,197.0,94.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,
52668,27047,Markus Deibler,M,22.0,197.0,94.0,Germany,GER,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
52669,27047,Markus Deibler,M,22.0,197.0,94.0,Germany,GER,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,
52670,27047,Markus Deibler,M,22.0,197.0,94.0,Germany,GER,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
52671,27048,Steffen Deibler,M,21.0,186.0,81.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,
52672,27048,Steffen Deibler,M,21.0,186.0,81.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,
52673,27048,Steffen Deibler,M,21.0,186.0,81.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
52674,27048,Steffen Deibler,M,25.0,186.0,81.0,Germany,GER,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,
52675,27048,Steffen Deibler,M,25.0,186.0,81.0,Germany,GER,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
52676,27048,Steffen Deibler,M,29.0,186.0,81.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
52677,27048,Steffen Deibler,M,29.0,186.0,81.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Butterfly,
52678,27048,Steffen Deibler,M,29.0,186.0,81.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
52681,27051,Guntars Deimans,M,21.0,189.0,73.0,Latvia,LAT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Individual Medley,
52682,27051,Guntars Deimans,M,21.0,189.0,73.0,Latvia,LAT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Individual Medley,
52739,27079,"Gerardus ""G"" Dekker",M,19.0,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 100 metres Freestyle,
52740,27079,"Gerardus ""G"" Dekker",M,19.0,,,Netherlands,NED,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
52742,27081,Inge Dekker,F,18.0,183.0,67.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
52743,27081,Inge Dekker,F,22.0,183.0,67.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,
52744,27081,Inge Dekker,F,22.0,183.0,67.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
52745,27081,Inge Dekker,F,22.0,183.0,67.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,
52746,27081,Inge Dekker,F,22.0,183.0,67.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
52747,27081,Inge Dekker,F,26.0,183.0,67.0,Netherlands,NED,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
52748,27081,Inge Dekker,F,26.0,183.0,67.0,Netherlands,NED,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,
52749,27081,Inge Dekker,F,26.0,183.0,67.0,Netherlands,NED,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
52750,27081,Inge Dekker,F,30.0,183.0,67.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,
52751,27081,Inge Dekker,F,30.0,183.0,67.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
52755,27084,"Ronald ""Ron"" Dekker",M,22.0,193.0,84.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
52756,27084,"Ronald ""Ron"" Dekker",M,22.0,193.0,84.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Breaststroke,
52757,27084,"Ronald ""Ron"" Dekker",M,22.0,193.0,84.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Breaststroke,
52758,27084,"Ronald ""Ron"" Dekker",M,22.0,193.0,84.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
52769,27093,Dieter Dekoninck,M,21.0,190.0,85.0,Belgium,BEL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
52770,27093,Dieter Dekoninck,M,21.0,190.0,85.0,Belgium,BEL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
52771,27093,Dieter Dekoninck,M,25.0,190.0,85.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
52772,27093,Dieter Dekoninck,M,25.0,190.0,85.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
52785,27100,Franco Del Campo,M,19.0,183.0,69.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Backstroke,
52786,27100,Franco Del Campo,M,19.0,183.0,69.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Backstroke,
52787,27100,Franco Del Campo,M,19.0,183.0,69.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
52841,27135,Marco Del Prete,M,18.0,186.0,76.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,
52896,27162,Mario Dela,M,19.0,188.0,80.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Freestyle,
52897,27162,Mario Dela,M,19.0,188.0,80.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
52900,27164,Nadine Delache,F,19.0,162.0,52.0,France,FRA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Backstroke,
52923,27181,"Ashley Jason ""Ash"" Delaney",M,22.0,185.0,82.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,
52924,27181,"Ashley Jason ""Ash"" Delaney",M,22.0,185.0,82.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,
52925,27181,"Ashley Jason ""Ash"" Delaney",M,22.0,185.0,82.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
52926,27182,Cameron Delaney,M,19.0,180.0,71.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Backstroke,
52940,27192,Michael William Delany,M,18.0,182.0,84.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,
52941,27192,Michael William Delany,M,18.0,182.0,84.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
52965,27200,Flvia Renata Delaroli Cazziolato,F,20.0,175.0,64.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,
52966,27200,Flvia Renata Delaroli Cazziolato,F,20.0,175.0,64.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
52967,27200,Flvia Renata Delaroli Cazziolato,F,24.0,175.0,64.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,
52968,27200,Flvia Renata Delaroli Cazziolato,F,24.0,175.0,64.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
53035,27227,Frdric Andr Delcourt,M,16.0,181.0,77.0,France,FRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Backstroke,
53036,27227,Frdric Andr Delcourt,M,16.0,181.0,77.0,France,FRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Backstroke,
53037,27227,Frdric Andr Delcourt,M,16.0,181.0,77.0,France,FRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
53038,27227,Frdric Andr Delcourt,M,20.0,181.0,77.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,
53039,27227,Frdric Andr Delcourt,M,20.0,181.0,77.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,Silver
53040,27227,Frdric Andr Delcourt,M,20.0,181.0,77.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
53084,27249,Karin Sonja Deleurand (-McCarthy),F,17.0,166.0,59.0,Denmark,DEN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Breaststroke,
53085,27249,Karin Sonja Deleurand (-McCarthy),F,17.0,166.0,59.0,Denmark,DEN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Breaststroke,
53089,27252,Franois Deley,M,16.0,184.0,71.0,Belgium,BEL,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Freestyle,
53090,27252,Franois Deley,M,16.0,184.0,71.0,Belgium,BEL,1972 Summer,1972,Summer,Munich,Swimming,"Swimming Men's 1,500 metres Freestyle",
53091,27252,Franois Deley,M,20.0,184.0,71.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Butterfly,
53092,27252,Franois Deley,M,20.0,184.0,71.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Butterfly,
53093,27252,Franois Deley,M,20.0,184.0,71.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 400 metres Individual Medley,
53126,27269,Cyro Marques Delgado,M,19.0,182.0,76.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Freestyle,
53127,27269,Cyro Marques Delgado,M,19.0,182.0,76.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Freestyle,
53128,27269,Cyro Marques Delgado,M,19.0,182.0,76.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
53129,27269,Cyro Marques Delgado,M,19.0,182.0,76.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
53130,27269,Cyro Marques Delgado,M,23.0,182.0,76.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,
53131,27269,Cyro Marques Delgado,M,23.0,182.0,76.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Freestyle,
53132,27269,Cyro Marques Delgado,M,23.0,182.0,76.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
53133,27269,Cyro Marques Delgado,M,23.0,182.0,76.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
53134,27269,Cyro Marques Delgado,M,23.0,182.0,76.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
53136,27271,Felipe Delgado Martillo,M,23.0,182.0,80.0,Ecuador,ECU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,
53137,27271,Felipe Delgado Martillo,M,23.0,182.0,80.0,Ecuador,ECU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,
53138,27271,Felipe Delgado Martillo,M,23.0,182.0,80.0,Ecuador,ECU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Freestyle,
53139,27271,Felipe Delgado Martillo,M,23.0,182.0,80.0,Ecuador,ECU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
53140,27271,Felipe Delgado Martillo,M,27.0,182.0,80.0,Ecuador,ECU,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,
53170,27291,Roberto Delgado Martillo,M,21.0,178.0,80.0,Ecuador,ECU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
53171,27291,Roberto Delgado Martillo,M,21.0,178.0,80.0,Ecuador,ECU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
53172,27291,Roberto Delgado Martillo,M,21.0,178.0,80.0,Ecuador,ECU,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,
53173,27291,Roberto Delgado Martillo,M,25.0,178.0,80.0,Ecuador,ECU,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,
53174,27291,Roberto Delgado Martillo,M,25.0,178.0,80.0,Ecuador,ECU,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Butterfly,
53182,27299,"Jorge Delgado Panchana, Jr.",M,18.0,182.0,64.0,Ecuador,ECU,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Freestyle,
53183,27299,"Jorge Delgado Panchana, Jr.",M,18.0,182.0,64.0,Ecuador,ECU,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Butterfly,
53184,27299,"Jorge Delgado Panchana, Jr.",M,18.0,182.0,64.0,Ecuador,ECU,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Individual Medley,
53185,27299,"Jorge Delgado Panchana, Jr.",M,22.0,182.0,64.0,Ecuador,ECU,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Freestyle,
53186,27299,"Jorge Delgado Panchana, Jr.",M,22.0,182.0,64.0,Ecuador,ECU,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Freestyle,
53187,27299,"Jorge Delgado Panchana, Jr.",M,22.0,182.0,64.0,Ecuador,ECU,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Butterfly,
53188,27299,"Jorge Delgado Panchana, Jr.",M,22.0,182.0,64.0,Ecuador,ECU,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Butterfly,
53252,27336,Marco Dell'Uomo,M,22.0,181.0,76.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Freestyle,
53253,27336,Marco Dell'Uomo,M,22.0,181.0,76.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Freestyle,
53254,27336,Marco Dell'Uomo,M,22.0,181.0,76.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
53270,27345,Ezio Della Savia,M,18.0,185.0,92.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,
53271,27345,Ezio Della Savia,M,22.0,185.0,92.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Backstroke,
53356,27387,Jacqueline Delord,F,18.0,170.0,57.0,France,FRA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle,
53357,27387,Jacqueline Delord,F,18.0,170.0,57.0,France,FRA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Butterfly,
53358,27387,Jacqueline Delord,F,18.0,170.0,57.0,France,FRA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
53359,27387,Jacqueline Delord,F,22.0,170.0,57.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,
53360,27387,Jacqueline Delord,F,22.0,170.0,57.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
53361,27387,Jacqueline Delord,F,26.0,170.0,57.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
53512,27455,Vladimir Vasilyevich Dementyev,M,19.0,196.0,91.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Breaststroke,
53532,27466,Vasilis Demetis,M,25.0,181.0,75.0,Greece,GRE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
53533,27466,Vasilis Demetis,M,25.0,181.0,75.0,Greece,GRE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,
53556,27479,Oksana Yevgenyevna Demidova,F,18.0,167.0,54.0,Belarus,BLR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
53565,27482,Henri Demiville,M,,,,Switzerland,SUI,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,
53604,27498,Oszkr Demjn,M,20.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 200 metres Breaststroke,
53605,27498,Oszkr Demjn,M,20.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Breaststroke,
53637,27506,"Richard James ""Rick"" DeMont",M,16.0,180.0,69.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Freestyle,
53638,27506,"Richard James ""Rick"" DeMont",M,16.0,180.0,69.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,"Swimming Men's 1,500 metres Freestyle",
53674,27527,Ivan Demyanenko,M,19.0,179.0,65.0,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,
53686,27537,"Adelade Henriette ""Ada"" den Haan (-Swinkels)",F,19.0,180.0,80.0,Netherlands,NED,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 200 metres Breaststroke,
53687,27537,"Adelade Henriette ""Ada"" den Haan (-Swinkels)",F,19.0,180.0,80.0,Netherlands,NED,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
53696,27542,"Willemijntje ""Willy"" den Ouden (-Broms, -Jager, -Schupper)",F,14.0,163.0,,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,Silver
53697,27542,"Willemijntje ""Willy"" den Ouden (-Broms, -Jager, -Schupper)",F,14.0,163.0,,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
53698,27542,"Willemijntje ""Willy"" den Ouden (-Broms, -Jager, -Schupper)",F,18.0,163.0,,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Freestyle,
53699,27542,"Willemijntje ""Willy"" den Ouden (-Broms, -Jager, -Schupper)",F,18.0,163.0,,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
53713,27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,19.0,181.0,75.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
53714,27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,19.0,181.0,75.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Individual Medley,Silver
53715,27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,19.0,181.0,75.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Individual Medley,
53716,27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,23.0,181.0,75.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Freestyle,
53717,27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,23.0,181.0,75.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
53718,27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,23.0,181.0,75.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Individual Medley,
53732,27562,Christophe Deneuville,M,17.0,,,France,FRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,
53748,27567,Deng Jian,M,18.0,182.0,75.0,China,CHN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,
53845,27618,Helen Jennifer Denman,F,19.0,182.0,70.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Breaststroke,
53846,27618,Helen Jennifer Denman,F,19.0,182.0,70.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
53853,27622,"Federico ""Fritz"" Dennerlein",M,20.0,185.0,92.0,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
53854,27622,"Federico ""Fritz"" Dennerlein",M,24.0,185.0,92.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
53855,27622,"Federico ""Fritz"" Dennerlein",M,24.0,185.0,92.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Butterfly,
53856,27622,"Federico ""Fritz"" Dennerlein",M,24.0,185.0,92.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
53871,27629,"Clara ""Clare"" Dennis (-Golding)",F,16.0,,,Australia,AUS,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,Gold
53935,27669,Ludovic Dpickre,M,19.0,183.0,75.0,France,FRA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,
53936,27669,Ludovic Dpickre,M,19.0,183.0,75.0,France,FRA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
53937,27669,Ludovic Dpickre,M,19.0,183.0,75.0,France,FRA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Butterfly,
53938,27669,Ludovic Dpickre,M,19.0,183.0,75.0,France,FRA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
53939,27669,Ludovic Dpickre,M,22.0,183.0,75.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
53940,27669,Ludovic Dpickre,M,26.0,183.0,75.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
53971,27693,"John Henry ""Rob"" Derbyshire",M,27.0,,,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,
53972,27693,"John Henry ""Rob"" Derbyshire",M,27.0,,,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,
53973,27693,"John Henry ""Rob"" Derbyshire",M,27.0,,,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Swimming,Swimming Men's 4 x 250 metres Freestyle Relay,Bronze
53974,27693,"John Henry ""Rob"" Derbyshire",M,29.0,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,
53975,27693,"John Henry ""Rob"" Derbyshire",M,29.0,,,Great Britain,GBR,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
53976,27693,"John Henry ""Rob"" Derbyshire",M,33.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,
54085,27749,Hans F. Dersch,M,24.0,188.0,74.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Breaststroke,
54086,27749,Hans F. Dersch,M,24.0,188.0,74.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
54206,27808,Bernard Desmarais,M,21.0,,,Mauritius,MRI,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Breaststroke,
54207,27808,Bernard Desmarais,M,21.0,,,Mauritius,MRI,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Breaststroke,
54208,27808,Bernard Desmarais,M,25.0,,,Mauritius,MRI,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Breaststroke,
54231,27821,Gilbert Desmit,M,19.0,180.0,75.0,Belgium,BEL,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 200 metres Breaststroke,
54232,27821,Gilbert Desmit,M,22.0,180.0,75.0,Belgium,BEL,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 200 metres Breaststroke,
54269,27842,Jrmy Desplanches,M,21.0,189.0,72.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,
54270,27842,Jrmy Desplanches,M,21.0,189.0,72.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,
54313,27866,Martine Dessureault,F,22.0,173.0,57.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,
54323,27869,Elisabetta Dessy (-Dibiasi-),F,18.0,180.0,58.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
54339,27877,Claude Desusclade,M,17.0,,,France,FRA,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 100 metres Freestyle,
54350,27886,Olga Igorevna Detenyuk,F,15.0,173.0,57.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Breaststroke,
54369,27897,Gabriele Detti,M,17.0,184.0,79.0,Italy,ITA,2012 Summer,2012,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",
